HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Minimum Submitted Charge Amount,Maximum Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Allowed Amount,Minimum Medicare Allowed Amount,Maximum Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Medicare Payment Amount,Minimum Medicare Payment Amount,Maximum Medicare Payment Amount,Standard Deviation of Medicare Payment Amount
A0422,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",N,F,16,43,21,24,60.24,35.00,140.00,33.42,0.72,0.01,1.00,0.44,0.56,0.01,0.80,0.35
A0425,"Ground mileage, per statute mile",N,F,10436,139295576,6695130,12541652,14.42,0.05,1178.57,7.04,7.75,0.04,10.73,0.93,6.19,0.03,8.60,0.74
A0425,"Ground mileage, per statute mile",N,O,21,4360,923,1593,14.17,6.87,115.54,18.48,7.10,6.87,10.65,0.37,5.66,1.38,8.52,0.38
A0426,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",N,F,2958,315418,275509,308502,762.94,0.13,15500.00,386.80,260.17,0.13,344.33,20.57,205.70,0.11,275.46,16.60
A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als1-emergency)",N,F,8290,4985715,3491684,4948083,885.15,100.00,20629.01,430.62,413.57,100.00,545.19,32.08,327.09,80.00,436.15,25.39
A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als1-emergency)",N,O,5,481,371,481,532.34,500.00,15500.00,683.19,418.16,391.51,479.99,3.73,334.51,313.21,383.99,2.99
A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",N,F,5082,6687538,2041012,4783030,513.14,7.60,15500.00,244.35,221.53,7.60,286.95,17.86,176.25,6.08,229.56,14.26
A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",N,F,9754,2688166,1981951,2673128,642.41,10.39,15500.00,269.95,354.93,10.39,459.11,30.50,280.32,8.31,367.29,24.50
A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",N,O,4,1128,715,1128,437.08,350.00,506.00,3.49,351.98,334.40,362.76,0.62,281.36,267.52,290.21,0.49
A0430,"Ambulance service, conventional air services, transport, one way (fixed wing)",N,F,96,10056,9300,10036,12741.83,100.00,33951.00,4519.06,4162.21,100.00,4701.91,405.80,3309.02,80.00,3690.60,320.77
A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)",N,F,260,58342,56684,58248,15066.43,1750.00,26691.09,3548.05,4571.21,1750.00,5291.56,297.53,3626.71,1400.00,4233.25,238.49
A0432,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",N,F,54,3067,2620,3065,607.21,250.00,1064.82,154.54,373.54,250.00,404.17,26.08,291.78,200.00,323.34,22.69
A0433,"Advanced life support, level 2 (als 2)",N,F,5353,111756,106585,110975,1065.95,50.00,15500.00,535.03,598.17,50.00,789.09,50.79,473.10,40.00,631.27,41.16
A0434,Specialty care transport (sct),N,F,1266,103438,77947,97105,1728.82,53.61,15500.00,1089.47,732.31,43.04,932.57,84.86,582.73,0.00,746.06,67.87
A0435,"Fixed wing air mileage, per statute mile",N,F,93,1855979,9244,9970,90.42,8.17,216.49,43.68,11.57,8.10,12.38,1.10,9.21,6.48,9.90,0.87
A0436,"Rotary wing air mileage, per statute mile",N,F,259,3393037,56362,57925,161.67,32.19,252.24,45.21,31.41,22.03,33.73,1.89,24.96,17.58,26.99,1.49
A0888,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)",N,F,10,11,11,11,697.97,112.20,1598.40,467.85,289.36,0.48,1434.12,421.57,221.93,0.38,1147.30,329.15
A0999,Unlisted ambulance service,N,F,455,4620,3030,3669,617.81,12.00,16726.68,499.11,318.51,7.03,4844.88,178.04,253.89,5.62,3875.90,142.13
A4220,Refill kit for implantable infusion pump,N,O,140,4637,1758,4020,58.22,12.00,350.00,31.03,37.47,1.00,63.51,12.53,29.29,0.00,44.00,10.27
A4290,"Sacral nerve stimulation test lead, each",N,O,129,695,523,526,487.16,83.89,1680.00,234.33,210.94,57.50,559.17,128.14,167.22,20.97,447.33,102.08
A4402,"Lubricant, per ounce",N,O,8,11,11,11,4.36,1.00,8.00,1.55,0.37,0.01,1.00,0.48,0.22,0.00,0.80,0.35
A4559,"Coupling gel or paste, for use with ultrasound device, per oz",N,O,9,98,26,66,4.14,0.75,25.00,4.11,1.11,0.75,5.00,0.69,0.88,0.60,4.00,0.56
A4561,"Pessary, rubber, any type",N,F,44,70,67,70,94.44,24.52,146.00,46.66,21.90,21.43,22.20,0.25,16.78,0.00,17.76,3.14
A4561,"Pessary, rubber, any type",N,O,3498,9849,8209,9814,66.01,0.01,750.00,33.38,21.69,0.01,65.00,1.48,16.39,0.00,52.00,2.80
A4562,"Pessary, non rubber, any type",N,F,94,331,280,331,127.41,0.01,390.00,38.51,54.12,0.01,54.98,3.04,40.78,0.00,43.98,6.02
A4562,"Pessary, non rubber, any type",N,O,7641,36172,30006,36146,81.42,11.00,1000.00,36.56,53.49,11.00,85.00,3.13,40.88,0.00,56.64,5.01
A4565,Slings,N,F,39,97,95,96,26.67,4.38,350.00,35.30,8.06,4.38,8.12,0.41,6.04,0.00,6.50,1.44
A4565,Slings,N,O,11033,29956,29438,29832,20.74,0.01,253.00,13.08,8.21,0.01,24.35,1.59,6.22,0.00,19.48,1.58
C9399,Unclassified drugs or biologicals,N,F,14,132,88,120,1306.28,150.00,3085.00,824.56,1200.03,55.93,2000.00,855.11,960.03,44.75,1600.00,684.09
A4641,"Radiopharmaceutical, diagnostic, not otherwise classified",N,O,149,517,435,439,156.97,2.46,2150.00,245.14,114.29,0.93,1980.00,217.47,86.08,0.00,1584.00,161.22
A4648,"Tissue marker, implantable, any type, each",N,F,31,179,84,84,473.19,50.00,1300.00,345.09,243.97,18.07,1200.00,162.06,195.18,14.45,960.00,129.65
A4648,"Tissue marker, implantable, any type, each",N,O,1479,14457,7826,7839,412.59,28.75,3859.20,466.83,204.40,8.00,1774.38,217.13,162.00,6.00,1419.50,172.98
A4649,Surgical supply; miscellaneous,N,O,41,71,66,67,163.58,1.50,1200.00,263.93,116.63,1.00,1200.00,193.00,91.21,0.00,960.00,154.98
A6203,"Composite dressing, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",N,O,13,62,38,45,7.65,4.00,12.00,3.81,3.60,3.60,3.60,0.00,2.83,2.62,2.88,0.10
A6204,"Composite dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",N,O,3,30,20,29,10.00,10.00,10.00,0.00,6.69,6.69,6.69,0.00,5.17,2.68,5.35,0.67
A6216,"Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",N,O,9,264,119,173,6.95,0.22,30.00,8.42,0.05,0.05,0.05,0.00,0.04,0.02,0.04,0.00
A6402,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",N,O,8,14,12,14,9.43,2.00,23.00,7.89,0.19,0.13,1.00,0.22,0.14,0.08,0.80,0.18
A7043,Vacuum drainage bottle and tubing for use with implanted catheter,N,O,53,15437,784,2869,69.99,25.00,280.00,14.65,20.78,18.26,31.07,4.99,16.56,14.60,24.86,3.87
A9500,"Technetium tc-99m sestamibi, diagnostic, per study dose",N,F,25,67,37,42,167.70,71.00,600.00,122.46,96.74,71.00,121.70,23.25,58.77,0.00,97.36,36.78
A9500,"Technetium tc-99m sestamibi, diagnostic, per study dose",N,O,9865,1380831,797068,810987,216.21,20.00,6000.00,166.38,133.88,19.75,1478.00,68.59,105.77,0.00,1182.40,54.63
A9502,"Technetium tc-99m tetrofosmin, diagnostic, per study dose",N,O,4887,748946,449287,457774,227.00,10.00,2117.90,160.13,117.18,10.00,731.03,41.47,92.52,0.00,580.97,33.07
A9503,"Technetium tc-99m medronate, diagnostic, per study dose, up to 30 millicuries",N,O,3108,60435,58597,60375,59.81,3.00,1000.00,60.83,22.52,3.00,597.27,26.92,17.69,0.00,459.96,21.12
A9505,"Thallium tl-201 thallous chloride, diagnostic, per millicurie",N,O,2251,561422,157632,159266,121.33,5.83,1000.00,84.67,61.44,4.25,657.26,50.23,48.50,0.00,525.80,39.62
A9507,"Indium in-111 capromab pendetide, diagnostic, per study dose, up to 10 millicuries",N,O,75,267,266,267,4272.42,1723.00,22122.00,2295.43,3029.48,1463.58,3568.78,649.67,2423.16,1170.86,2855.02,519.45
A9509,"Iodine i-123 sodium iodide, diagnostic, per millicurie",N,O,70,598,278,279,316.78,50.00,1870.00,281.55,183.99,26.45,850.00,110.84,145.08,21.16,680.00,89.56
A9510,"Technetium tc-99m disofenin, diagnostic, per study dose, up to 15 millicuries",N,O,145,553,552,553,105.16,7.50,450.00,86.11,46.14,7.50,134.85,11.02,36.48,3.75,107.88,9.12
A9512,"Technetium tc-99m pertechnetate, diagnostic, per millicurie",N,O,621,21416,2614,2677,16.93,0.03,510.00,35.95,6.32,0.03,430.00,13.26,5.00,0.00,344.00,10.58
A9516,"Iodine i-123 sodium iodide, diagnostic, per 100 microcuries, up to 999 microcuries",N,O,1361,15772,6688,6766,106.24,0.42,1260.00,100.29,70.21,0.42,1260.00,68.79,55.45,0.00,1008.00,54.56
A9517,"Iodine i-131 sodium iodide capsule(s), therapeutic, per millicurie",N,O,367,40584,1182,1201,59.53,5.12,3515.68,102.17,22.74,0.65,3428.32,37.33,17.64,0.23,2742.65,29.51
A9521,"Technetium tc-99m exametazime, diagnostic, per study dose, up to 25 millicuries",N,O,137,521,398,408,990.93,0.01,4940.00,563.38,741.72,0.01,1832.00,205.21,579.14,0.00,1465.60,168.18
