HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
00100,Anesthesia for procedure on salivary gland with biopsy,N,F,9647,12224,12195,12221,1534.49,242.41,188.13,188.93
00102,Anesthesia for procedure to repair lip defect present at birth,N,F,45,46,46,46,1226.54,172.79,135.46,138.11
00103,Anesthesia for procedure on eyelid,N,F,21623,122071,120037,121991,894.55,157.50,121.65,122.21
00103,Anesthesia for procedure on eyelid,N,O,75,207,197,205,898.15,229.96,179.18,169.81
00104,Anesthesia for electric shock treatment,N,F,12495,189805,102593,189769,570.72,88.47,68.40,68.51
00104,Anesthesia for electric shock treatment,N,O,21,100,30,100,448.68,113.60,87.96,92.73
00120,Anesthesia for biopsy of external middle and inner ear,N,F,12883,23354,23198,23348,1305.67,208.14,161.00,162.22
00124,Anesthesia for examination and biopsy of external middle and inner ear using an endoscope,N,F,819,900,897,900,619.02,100.71,76.98,77.61
00126,Anesthesia for incision of ear drum,N,F,7340,11475,11380,11474,597.22,96.85,74.73,75.83
00140,Anesthesia for procedure on eye,N,F,23785,140554,133596,140489,876.57,151.39,117.15,117.02
00140,Anesthesia for procedure on eye,N,O,49,107,107,107,1035.46,207.72,162.85,155.19
00142,Anesthesia for lens surgery,N,F,41724,2054945,1800025,2054675,600.86,108.11,83.75,84.06
00142,Anesthesia for lens surgery,N,O,180,2195,1995,2195,659.17,136.07,106.23,102.01
00144,Anesthesia for procedure on eye for corneal transplant,N,F,7738,26060,25354,26032,1122.75,179.79,138.64,138.40
00145,Anesthesia for retinal surgery,N,F,19408,131983,128724,131966,1077.96,178.82,138.55,138.76
00145,Anesthesia for retinal surgery,N,O,17,22,22,22,1516.38,221.52,163.20,156.32
00147,Anesthesia for procedure on eye for removal of iris,N,F,428,861,844,861,791.67,129.74,100.41,97.98
00148,Anesthesia for eye examination using an endoscope,N,F,879,1044,1035,1044,686.14,100.46,76.26,76.32
00160,Anesthesia for procedure on nose and sinus,N,F,30178,73143,72745,73104,1133.03,181.87,140.56,142.16
00160,Anesthesia for procedure on nose and sinus,N,O,108,449,447,449,942.29,207.26,161.88,171.91
00162,Anesthesia for surgery of nose and sinus,N,F,850,976,971,976,2418.93,364.89,283.45,284.46
00164,Anesthesia for soft tissue biopsy on nose and sinus,N,F,249,327,325,327,806.07,138.71,107.77,109.84
00170,Anesthesia for procedure on mouth including biopsy,N,F,19240,34309,34138,34295,1080.97,169.83,129.30,130.26
00170,Anesthesia for procedure on mouth including biopsy,N,O,102,636,579,634,687.17,168.52,128.83,126.95
00172,Anesthesia for procedure on mouth to repair palate deformity,N,F,77,84,84,84,1859.88,272.25,212.07,208.29
00174,Anesthesia for procedure on throat for removal of tumor,N,F,25,26,26,26,1049.69,202.79,154.56,155.64
00176,Anesthesia for surgery on mouth,N,F,1837,2251,2247,2250,3260.67,477.79,372.34,370.09
00190,Anesthesia for procedure on facial bones or skull,N,F,9039,12225,12148,12223,1455.89,218.06,168.36,168.62
00190,Anesthesia for procedure on facial bones or skull,N,O,13,21,18,21,1040.79,193.83,151.97,148.41
00192,Anesthesia for surgery of facial bones or skull,N,F,2227,2507,2504,2505,2260.62,327.31,253.75,254.64
0019T,Low energy shock wave therapy of musculoskeletal system,N,O,46,862,299,828,420.00,253.63,198.14,198.14
00210,Anesthesia for procedure on brain,N,F,16520,35963,35695,35949,2845.30,445.42,346.87,346.36
00211,Anesthesia for procedure to remove blood collection in brain,N,F,10842,15663,15545,15648,2166.30,336.68,262.32,261.36
00212,Anesthesia for procedure to remove fluid in brain,N,F,93,96,96,96,1008.14,172.15,132.63,133.25
00214,Anesthesia for procedure to create holes in skull including X-ray imaging,N,F,7623,9822,9784,9820,1705.24,270.13,210.08,210.32
00632,Anesthesia for removal of nerves in lower spine,N,F,60,64,64,64,1587.51,242.53,186.54,187.03
00215,Anesthesia for procedure to repair skull or skull fracture,N,F,1734,1945,1932,1945,2133.21,327.38,254.45,253.26
00216,Anesthesia for procedure on blood vessel in brain,N,F,2434,3281,3268,3281,3684.42,577.60,449.86,448.55
00218,Anesthesia for procedure on brain patient in sitting position,N,F,473,562,559,562,3250.89,504.18,391.41,388.37
00220,Anesthesia for procedure to drain brain and spinal cord fluid,N,F,8932,13132,12924,13119,1952.24,301.44,234.54,233.96
00222,Anesthesia for procedure on nerve in brain,N,F,470,711,704,710,959.13,179.60,139.08,138.17
00300,Anesthesia for procedure on esophagus and neck,N,F,57802,251592,247074,251497,1075.18,170.07,131.49,132.47
00300,Anesthesia for procedure on esophagus and neck,N,O,168,1749,1160,1749,760.53,158.45,122.37,128.31
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",N,F,49132,171507,169988,171408,1371.34,210.80,163.70,164.06
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",N,O,20,24,24,24,1007.89,181.07,141.96,141.80
00322,Anesthesia for needle biopsy of thyroid,N,F,141,155,154,155,743.85,116.45,90.12,88.77
00322,Anesthesia for needle biopsy of thyroid,N,O,8,19,18,19,602.44,115.47,90.53,90.95
00350,Anesthesia for procedure on major blood vessels of neck,N,F,25485,68658,67982,68503,2110.75,340.01,264.76,266.65
00352,Anesthesia for tying procedure on major blood vessels of neck,N,F,9684,12318,12301,12315,974.09,151.34,117.77,117.92
00352,Anesthesia for tying procedure on major blood vessels of neck,N,O,12,19,19,19,1541.18,201.68,158.11,142.79
00400,"Anesthesia for procedure on skin of arms, legs, or trunk",N,F,65460,425303,417517,425181,816.21,123.07,95.08,95.28
00400,"Anesthesia for procedure on skin of arms, legs, or trunk",N,O,329,1390,1321,1390,965.75,127.99,99.45,96.86
00402,Anesthesia for breast reconstruction,N,F,20061,35343,34754,35330,1649.98,255.22,196.26,197.09
00404,Anesthesia for removal of breast,N,F,10284,14810,14768,14807,1464.50,236.07,183.61,184.89
00406,Anesthesia for removal of breast and lymph nodes,N,F,389,546,544,546,2063.73,347.01,270.66,275.74
00410,Anesthesia for procedure to correct abnormal heart rhythm,N,F,25652,82736,81450,82691,572.85,88.36,68.25,68.31
00410,Anesthesia for procedure to correct abnormal heart rhythm,N,O,19,49,45,49,647.80,117.50,90.99,91.90
0042T,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast",N,F,167,615,608,615,443.74,19.62,15.38,15.38
00450,Anesthesia for procedure on collar bone and shoulder blade,N,F,4590,5071,5035,5067,1300.51,205.59,159.01,161.04
00452,Anesthesia for surgery of collar bone and shoulder blade,N,F,88,89,89,89,2039.04,290.92,226.96,227.25
00454,Anesthesia for biopsy of collar bone,N,F,125,150,150,150,1221.75,138.26,107.41,102.56
00470,Anesthesia for partial removal of rib,N,F,2080,2280,2270,2280,1484.30,225.28,174.14,174.79
00472,Anesthesia for partial removal of rib and chest wall repair,N,F,455,470,467,469,2284.33,371.37,285.03,291.94
00474,Anesthesia for partial removal of rib and chest wall reconstruction,N,F,175,179,177,179,2771.15,455.61,354.32,361.13
00500,Anesthesia for procedure on esophagus,N,F,2596,3638,3627,3638,3867.77,621.40,484.69,483.71
00520,Anesthesia for closed procedure in chest,N,F,33480,119729,117584,119693,1080.39,164.13,127.65,127.46
00520,Anesthesia for closed procedure in chest,N,O,16,22,22,22,1063.11,216.36,169.62,170.50
00522,Anesthesia for closed needle biopsy of lung,N,F,1262,2059,2054,2059,1089.45,131.86,102.56,99.93
00522,Anesthesia for closed needle biopsy of lung,N,O,14,36,36,36,929.93,147.26,111.40,108.93
00524,Anesthesia for closed drainage of lung fluid,N,F,943,1086,1079,1085,934.81,139.20,108.48,108.06
00524,Anesthesia for closed drainage of lung fluid,N,O,13,18,14,18,802.08,148.32,116.28,114.43
00528,Anesthesia for closed diagnostic examination of chest using an endoscope,N,F,7250,10766,10750,10763,1616.53,253.62,197.59,197.49
00529,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation,N,F,4161,5583,5577,5583,2079.81,330.80,257.87,258.04
00530,Anesthesia for insertion of permanent heart pacemaker,N,F,20392,66942,66641,66892,1183.66,175.39,136.52,134.37
00532,Anesthesia for central vein access,N,F,41313,145339,143903,145305,851.86,132.70,103.03,103.76
00532,Anesthesia for central vein access,N,O,124,637,612,637,853.26,165.94,129.44,127.92
00534,Anesthesia for insertion or replace of pacing heart defibrillator,N,F,9249,20192,20104,20181,1654.07,260.15,202.26,201.09
00537,Anesthesia for procedure on heart to correct abnormal rhythm,N,F,22760,107664,106928,107631,2251.02,305.00,237.13,235.88
00537,Anesthesia for procedure on heart to correct abnormal rhythm,N,O,9,11,11,11,2440.96,325.65,249.38,272.82
00539,Anesthesia for reconstruction of windpipe and lung airway,N,F,179,189,187,188,3863.93,647.35,501.12,507.67
00540,Anesthesia for procedure in chest,N,F,8090,13000,12932,12997,2476.67,388.18,302.49,302.41
00541,Anesthesia for procedure in chest with 1 lung ventilation,N,F,16912,44712,44492,44683,2896.18,477.40,371.92,371.78
00542,Anesthesia for removal of lung lining,N,F,5094,6560,6540,6560,2884.98,460.86,359.38,359.03
00546,Anesthesia for lung removal and chest wall repair,N,F,89,104,104,104,3603.46,648.62,498.63,504.08
00548,Anesthesia for procedure on windpipe and lung airway,N,F,221,289,286,289,2860.57,486.55,380.90,386.80
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",N,F,6,72,70,72,448.99,139.62,109.33,109.33
00550,Anesthesia for removal of breast bone tissue,N,F,3591,4972,4787,4970,2012.81,331.77,258.37,258.23
